,0
1328,succesful
1329,failed
1330,succesful
1331,failed
1332,succesful
1333,succesful
1334,failed
1335,succesful
1336,failed
1337,failed
1338,failed
1339,failed
1340,succesful
1341,succesful
1342,succesful
1343,succesful
1344,failed
1345,failed
1346,failed
1347,failed
1348,succesful
1349,succesful
1350,succesful
1351,succesful
1352,succesful
1353,succesful
1354,succesful
1355,failed
1356,failed
1357,succesful
1358,failed
1359,succesful
1360,failed
1361,failed
1362,succesful
1363,failed
1364,failed
1365,succesful
1366,succesful
1367,failed
1368,succesful
1369,succesful
1370,succesful
1371,succesful
1372,failed
1373,succesful
1374,succesful
1375,succesful
1376,failed
1377,failed
1378,failed
1379,succesful
1380,failed
1381,succesful
1382,failed
1383,succesful
1384,failed
1385,succesful
1386,succesful
1387,failed
1388,succesful
1389,failed
1390,succesful
1391,failed
1392,failed
1393,failed
1394,succesful
1395,failed
1396,succesful
1397,succesful
1398,succesful
1399,failed
1400,failed
1401,failed
1402,succesful
1403,succesful
1404,failed
1405,succesful
1406,succesful
1407,succesful
1408,failed
1409,succesful
1410,succesful
1411,succesful
1412,succesful
1413,succesful
1414,succesful
1415,failed
1416,succesful
1417,succesful
1418,succesful
1419,succesful
1420,succesful
1421,failed
1422,succesful
1423,failed
1424,succesful
1425,failed
1426,failed
1427,succesful
1428,succesful
1429,succesful
1430,succesful
1431,failed
1432,failed
1433,failed
1434,failed
1435,succesful
1436,succesful
1437,succesful
1438,failed
1439,succesful
1440,failed
1441,failed
1442,succesful
1443,failed
1444,succesful
1445,succesful
1446,succesful
1447,failed
1448,succesful
1449,failed
1450,failed
1451,failed
1452,failed
1453,failed
1454,succesful
1455,succesful
1456,succesful
1457,failed
1458,succesful
1459,failed
1460,succesful
1461,succesful
1462,failed
1463,succesful
1464,failed
1465,succesful
1466,succesful
1467,succesful
1468,succesful
1469,failed
1470,succesful
1471,failed
1472,succesful
1473,failed
1474,succesful
1475,succesful
1476,succesful
1477,failed
1478,succesful
1479,succesful
1480,succesful
1481,succesful
1482,failed
1483,succesful
1484,succesful
1485,succesful
1486,succesful
1487,failed
1488,succesful
1489,failed
1490,succesful
1491,succesful
1492,failed
1493,succesful
1494,succesful
1495,succesful
1496,succesful
1497,succesful
1498,succesful
1499,failed
1500,succesful
1501,succesful
1502,succesful
1503,succesful
1504,failed
1505,failed
1506,failed
1507,succesful
1508,succesful
1509,failed
1510,succesful
1511,failed
1512,failed
1513,failed
1514,failed
1515,succesful
1516,failed
1517,succesful
1518,succesful
1519,failed
1520,succesful
1521,succesful
1522,succesful
1523,failed
1524,failed
1525,failed
1526,succesful
1527,succesful
1528,succesful
1529,succesful
1530,succesful
1531,failed
1532,succesful
1533,failed
1534,failed
1535,failed
1536,failed
1537,succesful
1538,failed
1539,failed
1540,failed
1541,succesful
1542,failed
1543,failed
1544,failed
1545,failed
1546,failed
1547,succesful
1548,succesful
1549,succesful
1550,succesful
1551,succesful
1552,failed
1553,succesful
1554,succesful
1555,failed
1556,succesful
1557,failed
1558,failed
1559,succesful
1560,succesful
1561,succesful
1562,succesful
1563,failed
1564,succesful
1565,failed
1566,failed
1567,succesful
1568,succesful
1569,succesful
1570,succesful
1571,succesful
1572,succesful
1573,succesful
1574,succesful
1575,succesful
1576,failed
1577,succesful
1578,failed
1579,succesful
1580,failed
1581,failed
1582,failed
1583,succesful
1584,failed
1585,succesful
1586,failed
1587,failed
1588,succesful
1589,failed
1590,failed
1591,succesful
1592,succesful
1593,succesful
1594,succesful
1595,succesful
1596,succesful
1597,failed
1598,failed
1599,succesful
1600,succesful
1601,failed
1602,failed
1603,succesful
1604,succesful
1605,succesful
1606,succesful
1607,failed
1608,succesful
1609,succesful
1610,succesful
1611,failed
1612,succesful
1613,failed
1614,failed
1615,failed
1616,succesful
1617,failed
1618,failed
1619,succesful
1620,failed
1621,failed
1622,succesful
1623,failed
1624,succesful
1625,failed
1626,succesful
1627,failed
1628,failed
1629,succesful
1630,failed
1631,failed
1632,failed
1633,succesful
1634,failed
1635,succesful
1636,succesful
1637,succesful
1638,failed
1639,failed
1640,failed
1641,failed
1642,succesful
1643,succesful
1644,failed
1645,failed
1646,succesful
1647,succesful
1648,succesful
1649,failed
1650,succesful
1651,succesful
1652,failed
1653,succesful
1654,failed
1655,succesful
1656,succesful
1657,failed
1658,succesful
1659,succesful
1660,succesful
1661,failed
1662,succesful
1663,succesful
1664,succesful
1665,succesful
1666,failed
1667,failed
1668,failed
1669,succesful
1670,failed
1671,succesful
1672,failed
1673,failed
